RMSE,COMID,Name,Outlet,station_nm,Lat,Long,outlet_comid,type,Location
3.3249076599343677,81034272,pe_basin_0_0118,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
3.2421372939299333,81034272,pe_basin_0_0119,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
4.010457118974159,81034272,pe_basin_0_0120,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
6.372284989808012,81034272,pe_basin_0_0121,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
2.159062703228073,81034272,pe_basin_0_0122,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
1.4520995755753736,81034272,pe_basin_0_0123,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
1.6953723173150272,81034272,pe_basin_0_0124,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
1.5947723112493102,81034272,pe_basin_0_0125,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
3.0272416430528537,81034272,pe_basin_0_0126,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
1.8989878630549817,81034272,pe_basin_0_0127,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
3.8059120457165276,81034272,pe_basin_0_0128,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
4.316533265914449,81034272,pe_basin_0_0129,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
4.326158159967317,81034272,pe_basin_0_0130,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
1.7823267799179983,81034272,pe_basin_0_0131,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
2.42836349031956,81034272,pe_basin_0_0132,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
1.5778209709786588,81034272,pe_basin_0_0133,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
2.756816310168,81034272,pe_basin_0_0134,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
1.7643237058681713,81034272,pe_basin_0_0135,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
3.474303823222115,81034272,pe_basin_0_0136,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
4.278547196188807,81034272,pe_basin_0_0137,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
4.0845405637213545,81034272,pe_basin_0_0138,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
2.671278371283156,81034272,pe_basin_0_0139,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
1.4893211928522183,81034272,pe_basin_0_0140,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
2.0442670417701216,81034272,pe_basin_0_0141,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
1.5911294594812657,81034272,pe_basin_0_0142,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
1.7805274737849015,81034272,pe_basin_0_0143,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
1.976468498617156,81034272,pe_basin_0_0144,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
4.034385263134039,81034272,pe_basin_0_0145,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
2.458187559906573,81034272,pe_basin_0_0146,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
4.7392239757392876,81034272,pe_basin_0_0147,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
2.2006334911636514,81034272,pe_basin_0_0148,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
2.8378206720454466,81034272,pe_basin_0_0149,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
1.8120164069580151,81034272,pe_basin_0_0150,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
2.9848126167459412,81034272,pe_basin_0_0151,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
1.9079281323034656,81034272,pe_basin_0_0152,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
3.687969880149004,81034272,pe_basin_0_0153,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
2.3682254562642058,81034272,pe_basin_0_0154,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
2.620470627639536,81034272,pe_basin_0_0155,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
5.298887796044788,81034272,pe_basin_0_0156,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
2.4200839777836864,81034272,pe_basin_0_0157,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
2.524431273894521,81034272,pe_basin_0_0158,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
1.6708355514666375,81034272,pe_basin_0_0159,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
2.080824855495566,81034272,pe_basin_0_0160,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
2.0737461059838167,81034272,pe_basin_0_0161,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
2.231567881202207,81034272,pe_basin_0_0162,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
2.6819283101283293,81034272,pe_basin_0_0163,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
5.111609458076392,81034272,pe_basin_0_0164,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
